trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.5, 'e': 0.29048849430996376}",20,0,-9.025918127316103,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.2875836093668641}",25,16,-0.47204556585099455,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.28470777327319546}",25,14,12.887834056963232,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2818606955404635}",20,10,-4.580053927276639,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.27904208858505886}",25,19,5.261967122071242,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992083}",20,13,0.8503472229854934,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.2734891510222162}",25,13,-21.431406408608094,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.27075425951199406}",25,20,9.7509890639781,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2680467169168741}",25,20,13.185830839816173,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.26536624974770534}",30,8,17.830584412481535,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502283}",25,-2,-0.3227832853213699,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.26008546137772603}",20,10,16.509087174945325,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.25748460676394874}",20,11,19.351427940564022,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2549097606963093}",20,-2,-20.7516445091654,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.2523606630893462}",25,14,-3.2231779010796813,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.2498370564584527}",25,-2,10.160210537173334,"{0: 24, 1: 1, 2: 1, 3: 1, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.24733868589386818}",20,9,19.435500930352998,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24486529903492948}",20,5,-33.52043139505773,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
